mcc,edited_description,irs_description,linked_fi_category,plaid_description
0000,Default,Default,00000000,Default
0742,Veterinary Services,Veterinary Services,18069000,Service: Veterinarians
0763,Agricultural Co-operatives,Agricultural Cooperative,18073004,Service: Agriculture and Forestry: Services
0780,"Horticultural Services, Landscaping Services",Landscaping Services,18024013,Service: Home Improvement: Landscaping and Gardeners
1520,General Contractors-Residential and Commercial,General Contractors,18013008,Service: Construction: Contractors
1711,"Air Conditioning Contractors - Sales and Installation, Heating Contractors - Sales, Service, Installation","Heating, Plumbing, A/C",18068003,"Service: Utilities: Heating, Ventilating, and Air Conditioning"
1731,Electrical Contractors,Electrical Contractors,18013007,Service: Construction: Electricians
1740,"Insulation - Contractors, Masonry, Stonework Contractors, Plastering Contractors, Stonework and Masonry Contractors, Tile Settings Contractors","Masonry, Stonework, and Plaster",18013004,Service: Construction: Masonry
1750,Carpentry Contractors,Carpentry Contractors,18013010,Service: Construction: Carpenters
1761,"Roofing - Contractors, Sheet Metal Work - Contractors, Siding - Contractors","Roofing/Siding, Sheet Metal",18013002,Service: Construction: Roofers
1771,Contractors - Concrete Work,Concrete Work Contractors,18013001,Service: Construction: Specialty
1799,"Contractors - Special Trade, Not Elsewhere Classified",Special Trade Contractors,18013008,Service: Construction: Contractors
2741,Miscellaneous Publishing and Printing,Miscellaneous Publishing and Printing,18008001,Service: Business Services: Printing and Publishing
2791,"Typesetting, Plate Making, & Related Services","Typesetting, Plate Making, and Related Services",18008001,Service: Business Services: Printing and Publishing
2842,"Specialty Cleaning, Polishing, and Sanitation Preparations",Specialty Cleaning,18068002,Service: Utilities: Sanitary and Waste Management
3000,UNITED AIRLINES,Airlines,22001000,Travel: Airlines and Aviation Services
3001,AMERICAN AIRLINES,Airlines,22001000,Travel: Airlines and Aviation Services
3002,PAN AMERICAN,Airlines,22001000,Travel: Airlines and Aviation Services
3003,Airlines,Airlines,22001000,Travel: Airlines and Aviation Services
